project_id,project_name,latitude,longitude,project_type,start_date,end_date,budget_($),emission_(co2e),emission_source
1,"Munoz, Perez and Alexander",75.329037,-1.664521,Housing,2023-06-28,2026-01-19,5341346.61,199.44,Material Manufacturing
2,Edwards-Cobb,9.057154,-74.63878,Bridge,2021-10-24,2023-10-15,524755.92,155.09,Transportation
3,Maynard Inc,20.261056,46.350681,Airport,2022-04-13,2023-01-16,8958379.06,477.27,Machinery
4,Odom-Davis,-30.4884935,128.497142,Industry,2021-07-07,2022-12-03,3044916.54,445.39,Machinery
5,Ayers-Bernard,-83.5355595,-166.767316,Railway,2022-11-13,2025-01-07,9190022.53,483.4,Machinery
6,"Glass, Alexander and Blake",58.705041,56.815492,Port,2020-02-14,2022-12-16,7530004.73,959.05,Material Manufacturing
7,Rice-Dunn,-81.805926,49.820371,Industry,2020-12-22,2021-10-26,9354851.03,69.06,Material Manufacturing
8,"Roberson, Osborn and Sims",-20.238292,87.419608,Tunnel,2022-06-10,2022-10-17,408983.15,647.95,Transportation
9,"Harvey, Murray and Garcia",-5.3909345,-43.603293,Road,2022-03-25,2022-09-01,6515119.62,561.69,Machinery
10,Harmon and Sons,-55.7985335,130.207483,Dam,2023-08-04,2025-07-24,1629561.46,437.26,Machinery
11,Taylor Ltd,-49.932224,34.90264,Industry,2020-12-30,2022-09-01,8013631.13,216.01,Material Manufacturing
12,Mitchell Inc,58.47226,31.49524,Dam,2021-01-01,2021-02-08,275529.31,187.96,Material Manufacturing
13,"Floyd, Williamson and Ortega",50.1240125,-100.547689,Airport,2021-08-03,2022-11-06,5143435.3,404.78,Transportation
14,Clayton LLC,55.9977725,84.967013,Road,2020-03-31,2022-03-14,3600366.3,732.89,Material Manufacturing
15,Brooks PLC,84.0758935,12.393326,Port,2022-08-29,2025-02-04,7862721.11,38.84,Machinery
16,"Nichols, Morse and Thompson",-6.2336195,159.063825,Housing,2021-04-17,2024-02-13,7051892.9,49.64,Material Manufacturing
17,"Randolph, Hamilton and Washington",-24.6174995,167.882192,Road,2020-10-27,2023-03-30,9776105.32,364.99,Material Manufacturing
18,Foster Inc,-52.277501,65.44605,Railway,2020-07-07,2020-11-24,7504866.22,265.92,Machinery
19,Thompson Ltd,-13.7420525,0.18698,Bridge,2022-04-07,2023-10-01,7948564.55,150.29,Machinery
20,"Graham, Johnson and Gonzalez",65.336969,171.349546,Dam,2021-09-24,2023-06-24,7045274.88,556.72,Material Manufacturing
21,"Martinez, Taylor and Jackson",-26.699612,-120.662447,Road,2020-12-22,2022-06-08,9008790.89,552.35,Machinery
22,Baker-Bautista,-34.64933,23.810525,Road,2020-12-06,2021-10-05,1424261.77,996.82,Material Manufacturing
23,Davis-Vargas,4.391209,102.583344,Dam,2021-12-26,2024-01-28,8989856.19,594.41,Machinery
24,Le Inc,50.623979,59.590834,Industry,2020-09-24,2021-04-26,206105.86,371.62,Machinery
25,Rice LLC,-35.5242375,-117.833267,Airport,2020-02-02,2021-11-16,9275355.57,874.43,Transportation
26,"Smith, Gordon and Butler",-52.123362,0.107348,Housing,2021-01-13,2021-09-17,460508.24,203.7,Material Manufacturing
27,Peck-Cook,-22.3161925,6.483236,Housing,2022-08-14,2024-04-28,1675595.84,99.27,Machinery
28,Rowland-Mercer,-7.159977,-130.414732,Tunnel,2021-06-01,2023-04-04,4448622.49,619.76,Transportation
29,Aguilar Group,-64.9182255,95.19967,Housing,2022-03-25,2022-06-02,4492332.4,992.58,Material Manufacturing
30,Jackson LLC,50.5634765,158.568257,Dam,2022-09-24,2024-01-15,1184050.66,605.78,Transportation
31,Rodriguez Ltd,-71.1950645,162.921699,Port,2021-12-28,2023-10-14,5188519.86,924.0,Material Manufacturing
32,Scott-Smith,-39.537593,76.35311,Industry,2022-12-11,2023-04-11,1060404.04,456.88,Material Manufacturing
33,Wells-Parrish,26.955887,87.460089,Tunnel,2022-07-05,2025-04-17,4966796.63,923.67,Transportation
34,"Rodriguez, Davis and Mitchell",36.0073985,-127.175337,Tunnel,2021-04-05,2023-08-31,2310569.48,536.07,Machinery
35,"Sims, Casey and Reynolds",84.359536,-133.655531,Tunnel,2021-05-07,2024-04-14,7747892.84,454.98,Transportation
36,Garcia LLC,-46.2096335,82.172128,Industry,2022-02-05,2022-10-05,3804536.25,172.96,Material Manufacturing
37,"Hurley, Garcia and Abbott",-38.232392,-110.175031,Tunnel,2022-09-06,2023-03-27,8236467.92,348.88,Material Manufacturing
38,Salinas-Blackwell,-34.040781,150.970216,Industry,2021-07-18,2024-07-03,5063968.01,54.98,Machinery
39,"Smith, Barnes and Mccullough",-73.814597,90.00386,Airport,2023-04-15,2023-12-28,4219805.13,498.68,Transportation
40,Brown-Sexton,42.8279375,-126.424075,Housing,2022-04-22,2023-10-01,632645.39,319.52,Machinery
41,Sherman-Gomez,-57.285764,60.806812,Bridge,2023-07-10,2023-12-21,5637357.72,267.2,Transportation
42,Carpenter Group,72.8555395,-120.76942,Bridge,2023-09-09,2023-12-15,5211064.59,462.37,Machinery
43,Harris Ltd,60.405073,114.505398,Road,2020-05-10,2022-05-21,4506053.59,364.06,Material Manufacturing
44,"Bailey, Chan and Miller",13.155233,-179.143907,Dam,2021-09-21,2021-12-01,5551454.9,15.56,Transportation
45,Garcia PLC,-68.8611655,-16.265587,Railway,2021-05-23,2024-01-30,5523289.65,123.66,Machinery
46,Williams-Brown,87.6094425,22.948985,Bridge,2021-09-08,2024-07-16,2344279.92,242.13,Transportation
47,"Sanchez, Johnson and Martin",68.0219565,168.604414,Port,2021-06-12,2022-12-27,7562043.33,562.91,Machinery
48,Love-Jordan,31.0158835,-52.286964,Airport,2020-11-07,2021-08-12,8953916.0,674.27,Material Manufacturing
49,"Coleman, Evans and Bowman",3.679731,86.452975,Dam,2020-09-12,2021-03-21,9360825.84,509.5,Machinery
50,Carter Ltd,-81.7380725,-106.120561,Road,2022-09-28,2024-11-08,1462543.12,775.28,Transportation
51,Smith and Sons,-49.2693965,74.03764,Tunnel,2020-06-25,2021-02-25,6893919.27,529.53,Material Manufacturing
52,"Smith, Gonzalez and Peters",-1.4027755,-88.668642,Port,2021-11-28,2023-02-02,550389.36,205.79,Machinery
53,Green-Wilson,55.8710005,38.523873,Road,2022-10-03,2025-08-23,9581622.82,695.28,Machinery
54,Lamb Ltd,82.7273785,-50.764311,Airport,2023-04-09,2025-03-01,8288656.79,672.99,Machinery
55,Andrews Ltd,-47.647022,-18.0758,Bridge,2022-09-08,2024-12-04,4867853.72,339.6,Transportation
56,Bell LLC,86.5793345,25.496992,Airport,2023-09-06,2025-05-13,9495040.46,674.88,Material Manufacturing
57,"Bond, Baker and Ingram",38.1778305,-3.476935,Industry,2022-12-23,2023-05-10,2001024.45,705.88,Transportation
58,"Hernandez, Williams and Silva",59.774974,112.535246,Railway,2021-11-23,2022-04-06,5280493.9,426.33,Transportation
