product_id,product_name,supplier,latitude,longitude,destination_latitude,destination_longitude,transportation_method,emission_(co2e),date
1,Darkcyan Seize B2C Networks,Zhang PLC,-85.817027,66.488162,-18.3872225,140.575697,Air,551.56,2023-01-23
2,Gold Engage Seamless Applications,"Sheppard, Turner and Rivera",1.5121655,119.321084,-89.6680385,-131.630638,Rail,342.92,2021-06-23
3,Slategray Reinvent Global Supply-Chains,Hall Ltd,-68.5486215,-14.800602,-11.8070845,148.169261,Rail,390.57,2021-07-11
4,Whitesmoke Architect Cross-Media Content,Thomas-Donovan,-79.045616,-18.317136,-31.9213105,125.14095,Truck,330.66,2023-03-02
5,Darkcyan Envisioneer Synergistic Initiatives,Fernandez Group,-66.386734,-42.787635,-81.4563395,-130.330487,Ship,130.66,2020-05-25
6,Lime Architect Granular E-Commerce,Smith-Robles,48.7605985,67.803404,22.3904075,83.725028,Air,752.73,2023-03-17
7,Rosybrown Architect Customized Metrics,Kelly-Petersen,37.070229,-117.967229,-2.9101655,-79.098943,Truck,22.42,2022-10-19
8,Hotpink E-Enable Next-Generation Eyeballs,Silva PLC,84.170824,97.556763,1.451778,109.110365,Ship,895.32,2022-09-05
9,Fuchsia Re-Intermediate Bleeding-Edge Web Services,Khan-Rodriguez,-10.222686,-82.575726,-27.509873,-73.824772,Truck,950.32,2020-12-16
10,Steelblue Aggregate Seamless Experiences,Franklin Inc,37.064811,-68.143509,-18.4909115,139.048275,Air,252.99,2022-04-13
11,Yellowgreen Deploy Revolutionary Networks,Reynolds-Meyer,46.394138,-157.020267,-43.3446645,142.899422,Truck,806.21,2022-01-22
12,Khaki Incubate Leading-Edge Eyeballs,Harris-Jenkins,-70.5940455,-45.460294,33.1069685,78.540506,Truck,14.6,2023-09-19
13,Cornsilk Enable Best-Of-Breed Interfaces,"Curtis, Lopez and Bailey",27.934958,93.813499,-8.62347,-68.392389,Truck,789.32,2021-02-27
14,Limegreen Leverage Customized Metrics,"Simmons, Flores and Rojas",49.260603,17.845762,-60.8340575,40.449089,Rail,265.88,2020-11-10
15,Darksalmon Unleash E-Business Portals,Pitts-Vega,57.3740605,-168.038575,-19.016725,-62.243688,Ship,610.69,2020-03-17
16,Aliceblue Engineer Front-End Solutions,"Bush, Scott and Reyes",31.355166,84.128184,68.0926695,-81.036344,Rail,668.07,2023-09-27
17,Whitesmoke E-Enable Dot-Com E-Business,Noble Group,71.8954965,164.228588,-22.772425,121.461704,Ship,544.35,2023-05-09
18,Slategray Enable Compelling Synergies,Ramos PLC,16.0003245,29.982434,56.093663,1.676822,Rail,572.46,2023-09-10
