Latitude,Longitude,Area (sq.m.),Proximity to City Center (km),Nearby Facilities,Land Type,Price ($)
53.6825405,159.798141,876,3.8867652552455523,3,Residential,5558804.357210698
8.2134475,-65.624090,967,36.88560853506139,3,Residential,1684723.7340551529
-51.4981945,-60.883289,612,12.74626005044079,2,Agricultural,1449881.6788267798
30.8644915,112.300178,162,34.77999852340252,5,Residential,417156.9907290218
-57.444693,18.780036,812,13.9968922143593,1,Residential,1485057.5594130468
-14.6064915,-115.520122,664,35.259135815784745,6,Residential,1970239.9740873636
-85.3521965,-7.820715,626,22.183031274383957,0,Agricultural,564395.3635163277
30.877361,-97.497852,354,19.59792254492983,5,Commercial,1069262.7809793882
-13.7939635,-13.226491,185,35.21230998681357,9,Industrial,771076.8893431186
3.511139,19.956340,437,4.353735978530199,5,Commercial,2881471.2943320423
-48.556126,34.359029,661,25.04506282044007,7,Agricultural,2378648.546229668
63.037634,-111.948521,331,42.129006071283634,10,Residential,1481136.3917012129
29.2056145,137.402426,985,21.767606251362913,9,Industrial,4451014.532719533
-13.9874305,38.126012,868,16.74714069666425,10,Industrial,4508594.862038618
76.388070,-136.007336,546,14.709434530996099,10,Industrial,2926380.6793516837
9.405801,-153.695710,404,17.938082340746384,8,Commercial,1743238.3381966236
84.687662,-141.972531,354,28.26698805300845,1,Residential,392068.8503325163
58.149246,-94.380704,460,18.904696745973187,7,Industrial,1774651.5513907757
13.451766,64.123863,766,47.481360274244494,5,Industrial,1854652.9297289338
56.1707045,-123.440670,321,26.75204068255249,10,Agricultural,1523981.6924690562
48.353013,-8.556534,151,36.97376424751874,1,Commercial,142079.53849066552
49.7064785,-17.227457,965,11.877591161237037,9,Agricultural,5098908.597880206
-16.9741455,133.234093,428,36.59719665915309,8,Residential,1603497.6965837933
84.314206,-149.393580,852,12.668576499464542,0,Commercial,1345060.3547067991
-31.3061345,167.102861,167,13.368790297802848,0,Agricultural,249835.61904990958
-34.246620,-33.762074,847,32.91051981768025,9,Agricultural,3563929.0317456326
-33.1486385,-106.777241,378,3.4785228444279492,4,Residential,2778136.309149138
58.4927285,-110.630166,859,13.218314902078095,2,Industrial,1986911.8110190486
-60.378606,-59.794454,185,22.88947171351192,10,Residential,901646.3694011708
-9.9106515,81.310237,776,31.059089538976266,0,Industrial,499692.6899780447
